"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"ちょうこく";"choukoku";"ukiran; patung ; berdirinya suatu negara ; mengatasi; menaklukkan"
"長所";"chousho";"kekuatan; kemampuan; kebajikan; keuntungan"
"長女";"choujo";"putri sulung; anak perempuan sulung"
"ちょうせい";"chousei";"pengaturan; peraturan; koordinasi; rekonsiliasi; penyetelan; pemasangan; jahitan ; umur panjang ; ekspedisi militer yang panjang, Long March (Tiongkok, 1934-1936), Long March (rangkaian kendaraan peluncuran Tiongkok) ; nada suara ; tiupan klakson kapal yang panjang ; tanda nada (misalnya dalam PinYin) ; pembuatan; persiapan; eksekusi (perintah) ; kematian; lewat ; organisasi kota; administrasi kota ; pemerintahan oleh istana kekaisaran"
"ちょうせつ";"chousetsu";"peraturan; pengaturan; kontrol"
"長短";"choutan";"(relatif) panjang, kelebihan dan kekurangan; plus dan minus; titik kuat dan lemah"
"頂点";"chouten";"atas; puncak, puncak"
"長男";"chounan";"putra tertua (mungkin satu-satunya putra); putra sulung"
"長方形";"chouhoukei";"persegi panjang; bujur"
"調味料";"choumiryou";"bumbu"
"直後";"chokugo";"segera menyusul"
"直線";"chokusen";"garis lurus"
"直前";"chokuzen";"sebelum"
"直通";"chokutsuu";"jalur langsung; komunikasi langsung; menghubungkan secara langsung; melalui layanan; layanan tanpa henti"
"直流";"chokuryuu";"arus searah; DC"
"貯蔵";"chozou";"penyimpanan; kelestarian"
"直角";"chokkaku";"sudut kanan; tegak lurus"
"ちょっけい";"chokkei";"keturunan langsung; jalur langsung ; diameter"
"散らかす";"chirakasu";"untuk menyebar; untuk meninggalkan berantakan; untuk membuat kekacauan"
"散らかる";"chirakaru";"berada dalam kekacauan; untuk berbaring berserakan"
"散らす";"chirasu";"untuk menyebar; menyebabkan hujan, menyebar; untuk mendistribusikan; untuk menyebarkan, untuk menyelesaikan (gejala, kondisi, dll.); untuk meringankan; untuk menyingkirkan; untuk menyembuhkan, untuk mengalihkan perhatian; untuk mengalihkan, untuk melakukan... liar (yaitu tidak teratur atau sering); untuk melakukan... di semua tempat"
"ちりがみ";"chirigami";"kertas tisu; tisu toilet"
"散る";"chiru";"jatuh (misalnya bunga, daun), berserakan; untuk dibubarkan, menghilang; untuk membubarkan; untuk memecah, menyebar; untuk berlari; untuk mengaburkan, mati dengan kematian yang mulia"
"追加";"tsuika";"tambahan; suplemen; menambahkan; lampiran"
"ついで";"tsuide";"Berikutnya; Kedua; kemudian ; peluang; kesempatan, pesanan; urutan, penerus ; mengungkapkan, menyatakan, menceritakan ; memesan; tertib; gaji; dasawarsa"
"通貨";"tsuuka";"mata uang"
"通勤";"tsuukin";"berangkat kerja"
"通ずる";"tsuuzuru";"bersikap terbuka (untuk lalu lintas); untuk mengarah ke; untuk berkomunikasi (dengan), mengalir (cair, arus); melewati; untuk mencapai, untuk dipahami, untuk dihormati; menjadi baik, menjadi ahli dalam hal; mempunyai informasi yang baik, untuk berkomunikasi secara sembunyi-sembunyi; untuk tetap berhubungan (misalnya dengan musuh), untuk membentuk penghubung; menjadi intim"
"通知";"tsuuchi";"melihat; pemberitahuan; laporan; postingan, notifikasi (di smartphone, PC, dll)"
"つうちょう";"tsuuchou";"buku tabungan; buku bank ; melihat; pemberitahuan; nota; bundar"
"つうやく";"tsuuyaku";"interpretasi (yaitu terjemahan lisan), penerjemah ; sepadan; pengurangan menjadi ukuran umum"
"通用";"tsuuyou";"penggunaan populer; sirkulasi, untuk lulus sebagai; untuk dilewati"
"通路";"tsuuro";"jalan; jalan raya; lorong"
"付合う";"tsukiau";"untuk bergaul dengan; untuk menemani; untuk pergi keluar; untuk tetap stabil; untuk melanjutkan, untuk pergi bersama; untuk mengikuti petunjuk seseorang; untuk menemani seseorang; untuk berkompromi"
"突き当たり";"tsukiatari";"ujung (jalan, lorong, dll.)"
"突き当たる";"tsukiataru";"untuk bertemu; untuk bertabrakan; untuk menabrak; berpapasan, sampai di ujung (jalan), menjumpai (kesulitan, masalah, dsb.); untuk melawan"
"月日";"tsukihi ; gappi";"waktu; bertahun-tahun; hari; kehidupan (seseorang), Bulan dan Matahari ; bulan dan hari (dalam setahun); (tanggal"
"点く";"tsuku";"untuk dinyalakan (misalnya listrik menyala); untuk dinyalakan, untuk terbakar"
"突く";"tsuku ; tsutsuku";"untuk menusuk, menyodok; untuk mendorong; untuk menyenggol; untuk memukul; untuk menyerang, menggunakan (tongkat); untuk menopang diri sendiri; untuk menekan (lantai, dll.), menyerang, menantang (hujan, dll.) ; untuk menyodok (berulang kali, ringan); untuk menyenggol, mematuk (makanan seseorang); untuk memilih di, untuk mematuk (kesalahan seseorang, dll.), untuk menyerang; untuk bersiap"
"つくる";"tsukuru";"untuk membuat; untuk menghasilkan; untuk membangun, menyiapkan (makanan); untuk menyeduh (alkohol), untuk meningkatkan; untuk tumbuh; untuk mengolah; untuk melatih, untuk sampai, menyusun (dokumen); untuk bermesraan; untuk mempersiapkan; menulis, menciptakan (karya seni, dsb.); untuk menulis, untuk koin (frasa); untuk mengatur; untuk membangun; menemukan, memiliki (anak), merias (wajah, dll.), membuat (alasan, dll.), memberikan penampilan (palsu); berpura-pura (tersenyum, dll.); untuk menunjukkan emosi, untuk membentuk (sebuah garis, dll.), untuk membuat (sebuah rekor), untuk melakukan (dosa, dll.)"
"次ぐ";"tsugu";"untuk memberi peringkat di sebelah; untuk datang setelahnya"
"つける";"tsukeru";"untuk merendam (dalam); untuk curam; untuk mencelupkan, untuk membuat acar; untuk mengawetkan (dalam garam, cuka, dll.) ; untuk melampirkan; bergabung; menambahkan; untuk menambahkan; untuk membubuhkan; untuk tetap; melekatkan; untuk mengencangkan; untuk menjahit; untuk mengoleskan (salep), untuk melengkapi (rumah dengan), untuk dipakai; untuk memakai, membuat buku harian; untuk membuat entri, untuk menilai; untuk menetapkan (harga), untuk membagikan; untuk menganggarkan; menugaskan, membawa serta, ke tempat (di bawah penjagaan atau dokter), untuk diikuti; untuk membayangi, untuk memuat; memberi (keberanian untuk), mengawasi (mengawasi), menjalin (hubungan atau pengertian), menyalakan (cahaya), menghasilkan bunga; untuk menghasilkan buah ; untuk menghidupkan; untuk menyala ; untuk memburu mata-mata; untuk membuntuti seseorang; menguntit ; untuk melantik (seorang raja, kaisar, dll.), untuk menunjuk (untuk suatu jabatan); untuk mempromosikan, untuk menugaskan (untuk belajar di bawah)"
"着ける";"tsukeru";"untuk melampirkan; bergabung; menambahkan; untuk menambahkan; untuk membubuhkan; untuk tetap; melekatkan; untuk mengencangkan; untuk menjahit; untuk mengoleskan (salep), untuk melengkapi (rumah dengan), untuk dipakai; untuk memakai, membuat buku harian; untuk membuat entri, untuk menilai; untuk menetapkan (harga), untuk membagikan; untuk menganggarkan; menugaskan, membawa serta, ke tempat (di bawah penjagaan atau dokter), untuk diikuti; untuk membayangi, untuk memuat; memberi (keberanian untuk), mengawasi (mengawasi), menjalin (hubungan atau pengertian), menyalakan (cahaya), menghasilkan bunga; untuk menghasilkan buah"
"点ける";"tsukeru";"untuk menghidupkan; untuk menyala"
"伝わる";"tsutawaru";"untuk diturunkan; untuk diperkenalkan; untuk ditransmisikan; untuk diedarkan; untuk ikut serta; untuk berjalan bersama"
"突っ込む";"tsukkomu";"untuk mendorong (sesuatu) ke dalam (sesuatu); untuk menjejalkan; untuk mengisi; untuk mendorong, untuk terjun ke dalamnya; untuk mengisi daya; untuk bergegas ke; untuk menabrak, untuk menyelidiki (masalah); untuk mendalami; untuk sampai ke inti (sesuatu), untuk menekan (seseorang) tentang; untuk menunjukkan (misalnya ketidakkonsistenan); mempertanyakan dengan tajam; untuk memanggang, untuk terlibat; untuk ikut campur; untuk menyodok hidung seseorang ke, untuk membalas; untuk menyindir"
"努める";"tsutomeru";"untuk berusaha (berusaha); untuk mencoba; untuk berusaha; untuk mengerahkan diri; untuk rajin; untuk berkomitmen (untuk melakukan sesuatu)"
"務める";"tsutomeru";"bekerja untuk); untuk dipekerjakan (di); untuk melayani (dalam), untuk melayani (sebagai); untuk bertindak (sebagai); untuk mengisi (posisi); untuk memainkan peran (dari), untuk melakukan layanan keagamaan"
"つな";"tsuna";"tali; garis, sabuk jalinan grand champion ; rangkaian; luas, ekspansif"
"つながり";"tsunagari";"koneksi; tautan; hubungan"
"つながる";"tsunagaru";"untuk diikat bersama; untuk dihubungkan ke; untuk ditautkan ke, untuk mengarah ke; berhubungan dengan, berhubungan (melalui darah)"
"つなげる";"tsunageru";"untuk menghubungkan, untuk mengikat; untuk mempercepat, untuk mentransfer (panggilan telepon)"
"粒";"tsubu ; ryuu ; tsubi ; tsubo";"bulir; titisan; drop, counter untuk benda bulat kecil termasuk biji-bijian, biji-bijian, pil, tetes"
"つぶす";"tsubusu";"untuk menghancurkan; untuk meratakan, untuk mematikan; untuk keluar dari bisnis; untuk memaksa (sebuah perusahaan) menutup toko, hingga bangkrut; untuk memecahkan; untuk memblokir; untuk menggagalkan, pembantaian; untuk menyembelih; membunuh (ternak, untuk dimakan), membunuh (waktu); untuk sementara waktu (waktu); untuk menghabiskan (waktu seseorang), untuk menyia-nyiakan (misalnya bakat)"
"つぶれる";"tsubureru";"untuk dihancurkan; untuk dipatahkan; runtuh, menjadi tidak berguna; untuk berhenti berfungsi; terbuang percuma (misalnya waktu), bangkrut; untuk keluar dari bisnis; gagal"
"つまずく";"tsumazuku";"tersandung; tersandung, gagal; mengalami kemunduran"
"詰まる";"tsumaru";"untuk dikemas (dengan); penuh (ruang, jadwal, dll.), terblokir (jalan, pipa, hidung, dll.); menjadi tersumbat; untuk dipasang, untuk memperpendek (lebar, interval, dll.); menyusut (kemeja, bentuk kata, dll.); untuk mempersempit, menjadi bingung; menjadi sulit sekali, untuk berakhir; untuk diselesaikan, menjadi konsonan geminate, untuk memukul bola di dekat gagang pemukul"
"積む";"tsumu";"untuk menumpuk, untuk memuat (mobil, kapal, dll.); untuk mengemas, untuk memperoleh; untuk terakumulasi"
"つめ";"tsume";"kuku (misalnya kuku jari tangan, kuku kaki); cakar; kuku, plektrum; pilih, kait; gesper ; isian; pengepakan, akhir (khususnya kaki jembatan), tamu dengan peringkat terendah pada upacara minum teh, ahli teh, permainan akhir (khususnya dalam shogi atau digunakan secara kiasan), saus belut manis, wanita paruh baya, penunjukan ke tempat kerja tertentu, menggunakan sebagai satu-satunya dasar penilaian (judgment), berlanjut; terus lakukan untuk jangka waktu tertentu"
"つや";"tsuya";"kilap; kilau; bersinar; kemilau; polesan, kelembutan (suara); keremajaan (misalnya kulit), minat; menarik; pesona; warna; perasaan, romantis; Cinta; daya tarik kelamin ; berjaga sepanjang malam atas tubuh; bangun ; malam berhujan ; rawa ; kilau, glasir, semir, pesona, warna-warni, menawan"
"強気";"tsuyoki ; gougi ; gouki";"percaya diri; terjamin; tegas; kuat; cocksure, bullish (misalnya pasar) ; Besar; agung, keras kepala"
"つりあう";"tsuriau";"untuk menyeimbangkan; untuk menjadi harmonis; berada dalam keseimbangan, yang sesuai; untuk berjalan bersama dengan baik; menjadi pasangan yang cocok"
"つる";"tsuru";"untuk menggantung; untuk menangguhkan; untuk selempang; untuk dipakai (misalnya pedang); memasang (misalnya rak), menggantung diri, mengangkat lawan dari kakinya dengan cawatnya, berbalik ke atas (seolah-olah ditarik); menjadi miring (mata), mengerut (misalnya jahitan); untuk ditarik dengan kencang ; untuk ikan; untuk memiringkan; untuk menangkap, memikat; untuk menggoda; untuk menarik; untuk memikat ; bangau (burung apa pun dari keluarga Gruidae, khususnya bangau mahkota merah, Grus japonensis) ; tali busur, senar (shamisen, gitar, biola, dll.), penahan (pegangan panci melengkung), kawat perata diagonal di bagian atas masu ; merambat; tunas; sulur; pelari, membungkuk; lengan kuil; sampingan; lengan penarik; lubang suara; bagian dari kacamata yang menutupi sambungan telinga, ; kontak; pengaruh; pendukung keuangan ; kram; menjadi sempit; untuk kontrak"
"つるす";"tsurusu";"untuk menggantung; untuk menutup telepon"
"手洗い";"tearai";"mencuci tangan; air (atau baskom, dll.) untuk mencuci tangan, toilet; WC, cuci tangan (laundry, dll.)"
"定員";"teiin";"jumlah tetap (orang); jumlah yang ditentukan (petugas tetap, pelajar, dll.); kuota; batas numerik; pelengkap, kapasitas (bus, perahu, teater, dll.); kapasitas tempat duduk"
"ていか";"teika";"jatuh; menolak; penurunan; kemerosotan; degradasi ; Daftar Harga; harga normal; harga yang ditetapkan ; Harga rendah"
"低下";"teika";"jatuh; menolak; penurunan; kemerosotan; degradasi"
"定期券";"teikiken";"tiket komuter; musim tiket"
"定休日";"teikyuubi";"hari libur biasa; hari libur tetap; hari penutupan reguler"
"停止";"teishi ; chouji";"penghentian; akan berhenti; berhenti, berhenti (gerakan, aktivitas, dll.); penghentian sementara (operasi); gangguan (misalnya pasokan listrik); pemotongan, penangguhan (pembayaran, izin, dan lain-lain); larangan (sementara); larangan, penundaan musik, tari, dan lain-lain sebagai tanda berkabung bagi orang terkemuka"
"停車";"teisha";"berhenti (kereta api, mobil, dll.)"
"停電";"teiden";"mati listrik; pemadaman listrik; kegagalan pasokan listrik"
"手入れ";"teire";"peduli; menjaga; memperbaiki; pemeliharaan; merawat; pemangkasan; perawatan, penggerebekan (polisi); tindakan keras"
"てきかく";"tekikaku";"tepat; sesuai; tepat sekali ; memenuhi syarat; kompeten"
"適確";"tekikaku ; tekkaku";"tepat; sesuai; tepat sekali"
"手首";"tekubi";"pergelangan tangan"
"てごろ";"tegoro";"berguna; nyaman, cocok; wajar; sedang"
"てちょう";"techou";"buku catatan; (saku) buku harian, sertifikat, kartu identitas"
"鉄橋";"tekkyou";"jembatan kereta api; jembatan besi"
"てっぽう";"teppou";"pistol, tiang kayu yang dipukul pegulat saat latihan, ikan buntal"
"手続き";"tetsuduki";"prosedur; proses; formalitas"
"てぬぐい";"tenugui";"(tangan) handuk"
"手前";"temae ; temee";"sebelum diri sendiri; di depan seseorang; terdekat, sedikit sebelum mencapai (lokasi); sisi ini (suatu lokasi), sudut pandang seseorang; penampilan seseorang; menghadapi; kehormatan, keterampilan; ketangkasan; kesenian; kecerdikan, prosedur upacara minum teh, I; aku, kamu ; kamu, aku; Saya; diri"
"照らす";"terasu";"untuk bersinar; untuk menerangi, membandingkan (dengan); untuk merujuk"
"照る";"teru";"bersinar, melihat sedikit ke atas (topeng noh; menunjukkan kegembiraan, dll.)"
"てんかい";"tenkai";"perkembangan; evolusi; kemajuan; berlangsung; (plot) putaran, ekspansi; menyebar; memperluas; penyebaran; membangun, ekspansi (ekspresi aljabar), pengembangan (bentuk tiga dimensi), ekstraksi (data terkompresi); dekompresi; membongkar ; surga; langit; bola langit, alam surgawi; alam dewa ; revolusi; rotasi, putar; memutar, inversi, pegas tangan (senam)"
"点数";"tensuu";"tanda; poin; skor; nilai; lari (bisbol), jumlah item; sejumlah artikel"
"てんてん";"tenten";"berpindah dari satu tempat ke tempat lain; diedarkan berulang kali, berguling-guling ; berguling-guling, bolak-balik (di tempat tidur); kesombongan ; (tangan) handuk ; di sana-sini; sedikit demi sedikit; secara sporadis; tersebar dalam tetesan, titik; bintik-bintik"
"てんのう";"tennou";"Kaisar Jepang ; raja surgawi, Gozu Tenno (dewa dikatakan sebagai dewa India Gavagriva)"
"出合い";"deai";"pertemuan, pertemuan"
"出入り";"deiri ; dehairi";"masuk dan keluar, berkunjung secara teratur; sering berkunjung; mempunyai urusan rutin dengan, pemasukan dan pengeluaran, bertambah dan berkurang; surplus dan defisit; fluktuasi, pertarungan; masalah; pertengkaran; sengketa, lekukan (misalnya di garis pantai)"
"出入口";"deiriguchi";"keluar dan masuk"
"出掛ける";"dekakeru";"untuk pergi keluar (misalnya bertamasya atau jalan-jalan); untuk pergi; untuk berangkat; untuk memulai, akan berangkat; untuk pergi keluar saja"
"出来上がり";"dekiagari";"penyelesaian; selesai, pengerjaan; hasil"
"出来上がる";"dekiagaru";"untuk diselesaikan; untuk siap (misalnya untuk menyajikan atau makan), menjadi sangat mabuk"
"でこぼこ";"dekoboko";"ketidakrataan; kekasaran; ketidaksetaraan, ; ketidakseimbangan; ketidakrataan; perbedaan"
"でたらめ";"detarame";"omong kosong; komentar yang tidak bertanggung jawab; menelan ikan cod; sampah, acak; serampangan; tak sistematis"
"出迎え";"demukae";"pertemuan; penerimaan"
"出迎える";"demukaeru";"bertemu; untuk menyambut"
"伝記";"denki";"biografi; cerita hidup"
"電球";"denkyuu";"bolam"
"でんせん";"densen";"penularan; infeksi ; saluran listrik; kabel listrik, saluran telepon; kawat telegraf ; lari (dengan stocking)"
"電池";"denchi";"baterai; sel"
"電柱";"denchuu";"tiang listrik; tiang telepon; tiang telegrap"
"電波";"denpa ; demupa";"gelombang radio; penerimaan; sinyal, mengatakan hal-hal aneh"
"電流";"denryuu";"arus listrik"
"電力";"denryoku";"tenaga listrik"
"問い合わせ";"toiawase";"pertanyaan; interogasi; ENQ"
"とういつ";"touitsu";"persatuan; konsolidasi; keseragaman; penyatuan; kompatibel"
"とうけい";"toukei";"Tokyo ; bujur Timur ; statistik ; dokter ; sabungan; ayam sabungan"
"とうげ";"touge";"lintasan (gunung); titik tertinggi di jalan pegunungan; punggungan, puncak (misalnya musim panas); yang terburuk (misalnya karena suatu penyakit); krisis; titik kritis; bagian tersulit"
"東西";"touzai ; higashinishi";"timur dan barat, Orient dan Barat; Timur dan Barat, hadirin sekalian!; mohon perhatiannya!; menggulung, menggulung"
"投書";"tousho";"surat (misalnya pengaduan); surat kepada redaksi; surat dari pembaca, kontribusi (ke surat kabar, majalah, dll.)"
"当日";"toujitsu";"hari yang bersangkutan; hari yang ditentukan; hari itu juga; hari (penerbitan, publikasi, dll.)"
