"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"ちょくせつ";"chokusetsu";"langsung; segera; pribadi; secara langsung ; langsung; jujur; mudah; jelas, menentukan; mengingatkan"
"ちょしゃ";"chosha";"penulis (biasanya buku tertentu); penulis"
"ついに";"tsuini";"Akhirnya, pada akhirnya; Lagipula; tidak pernah terjadi"
"通過";"tsuuka";"melewati (terowongan, stasiun, kota, dll.); lewat (misalnya angin topan); transit, passage (sebuah rancangan undang-undang, misalnya melalui parlemen); pengangkutan, lulus (pemeriksaan, inspeksi, dan sebagainya); Membersihkan"
"通学";"tsuugaku";"berangkat ke sekolah; perjalanan sekolah"
"通行";"tsuukou";"lintas (orang, lalu lintas); lewat, penggunaan umum"
"通信";"tsuushin";"korespondensi; komunikasi; penularan; berita; sinyal; telekomunikasi"
"通じる";"tsuujiru";"bersikap terbuka (untuk lalu lintas); untuk mengarah ke; untuk berkomunikasi (dengan), mengalir (cair, arus); melewati; untuk mencapai, untuk dipahami, untuk dihormati; menjadi baik, menjadi ahli dalam hal; mempunyai informasi yang baik, untuk berkomunikasi secara sembunyi-sembunyi; untuk tetap berhubungan (misalnya dengan musuh), untuk membentuk penghubung; menjadi akrab, menyebarluaskan; untuk menyebarkan"
"捕まる";"tsukamaru";"untuk ditangkap, untuk dipertahankan; untuk memahami, untuk menemukan (misalnya bukti); untuk mendapatkan (misalnya taksi), untuk ditahan"
"つかむ";"tsukamu";"untuk meraih; untuk menangkap; untuk memahami; memegang; untuk mencengkeram; untuk memegang; untuk menumpangkan tangan, untuk memperoleh; mendapatkan; untuk menang; untuk menangkap, untuk memahami"
"疲れ";"tsukare ; dukare";"kelelahan ; kelelahan (dari); kelelahan"
"月";"tsuki ; getsu";"bulan, bulan ; Senin"
"付き合い";"tsukiai";"asosiasi; bersosialisasi; persahabatan"
"つぎつぎ";"tsugitsugi";"secara berturut-turut; satu per satu"
"つく";"tsuku";"untuk mengambil (kursi, posisi, kursus, kantor, dll.); untuk mengasumsikan; Disewa; untuk dipekerjakan, untuk naik (takhta); untuk menyetujui, untuk memulai (dalam sebuah perjalanan); untuk memulai; berangkat, untuk belajar (di bawah bimbingan guru); untuk menjadi murid magang ; untuk sampai; untuk meraih, untuk duduk; untuk duduk (misalnya meja) ; untuk dinyalakan (misalnya listrik menyala); untuk dinyalakan, untuk terbakar ; menghembuskan nafas, mengatakan (berbohong); menggunakan (bahasa kotor), untuk muntah; untuk meludah ; untuk menusuk, menyodok; untuk mendorong; untuk menyenggol; untuk memukul; untuk menyerang, menggunakan (tongkat); untuk menopang diri sendiri; untuk menekan (lantai, dll.), menyerang, menantang (hujan, dll.) ; untuk dilampirkan; untuk dihubungkan dengan; untuk mematuhi; untuk tetap; untuk melekat, untuk tetap terpatri; untuk melukai; untuk menodai; mewarnai, menghasilkan (buah, bunga, dsb.), diperoleh (dari suatu kebiasaan, kemampuan, dsb.); untuk meningkatkan (kekuatan, dll.), mengakar, menemani; untuk menghadiri; mengikuti; untuk belajar dengan, berdampingan; menjadi milik, memiliki; untuk menghantui, untuk dinyalakan, untuk diselesaikan; untuk diputuskan, untuk diberikan (nama, harga, dll.), untuk dirasakan; untuk dianggap, beruntung, menjadi (suatu keadaan, kondisi, dll.) ; untuk mengupas (beras, jelai, dll.); untuk menumbuk (beras); untuk memoles (beras); untuk mencap (bijih) ; untuk dibenamkan, untuk diasamkan ; tepat ; menusuk, menonjol, mendorong, tumbukan, tiba-tiba ; genus, pejabat bawahan, milik, berafiliasi ; suara dentingan ; burung hantu bertanduk ; untuk memiliki; untuk menghantui"
"注ぐ";"tsugu ; sosogu";"untuk menuangkan (ke dalam bejana); untuk mengisi (cangkir, mangkuk, dll.) dengan; untuk menyajikan (makanan atau minuman) ; untuk menuangkan (ke), untuk memercikkan (dari atas); untuk menyiram (misalnya tanaman); untuk dituangkan ke; untuk menyemprot, meneteskan (air mata), untuk memusatkan energi seseorang (kekuatan, perhatian, dll.); untuk mengabdi pada; untuk memusatkan (mata seseorang) pada, mengalir ke (misalnya sungai); untuk bertemu; mengalir ke, jatuh (hujan, salju); untuk menuangkan"
"付ける";"tsukeru";"untuk melampirkan; bergabung; menambahkan; untuk menambahkan; untuk membubuhkan; untuk tetap; melekatkan; untuk mengencangkan; untuk menjahit; untuk mengoleskan (salep), untuk melengkapi (rumah dengan), untuk dipakai; untuk memakai, membuat buku harian; untuk membuat entri, untuk menilai; untuk menetapkan (harga), untuk membagikan; untuk menganggarkan; menugaskan, membawa serta, ke tempat (di bawah penjagaan atau dokter), untuk diikuti; untuk membayangi, untuk memuat; memberi (keberanian untuk), mengawasi (mengawasi), menjalin (hubungan atau pengertian), menyalakan (cahaya), menghasilkan bunga; untuk menghasilkan buah"
"土";"tsuchi ; do ; ni ; to";"bumi; tanah; kotoran; tanah liat; lumpur, bumi (secara historis, khususnya sebagai lawan dari langit); tanah, torinoko-gami berkualitas rendah (mengandung lumpur), (periode) tidak melakukan pembangunan sesuai arahan dewa bumi (dalam Onmyōdō) ; Sabtu, bumi; kotoran; tanah, tanah, bumi (sepertiga dari lima elemen) ; tanah (khususnya tanah kemerahan) ; Turki"
"つつみ";"tsutsumi";"bank; tanggul ; bundel; kemasan; parsel, penghitung untuk benda yang dibungkus"
"続き";"tsuduki";"kelanjutan; istirahat (dari cerita, karya, dll); angsuran berikutnya; sekuel, aliran (misalnya sebuah tulisan); mondar-mandir (dari sebuah cerita), suksesi (dari); urutan; seri; mengeja; menggeliat; garis; berlari"
"勤め";"tsutome";"melayani; tugas; bisnis; tanggung jawab, Pelayanan keagamaan Buddha"
"務め";"tsutome";"melayani; tugas; bisnis; tanggung jawab, Pelayanan keagamaan Buddha"
"つなぐ";"tsunagu";"untuk menghubungkan; untuk menghubungkan bersama, untuk mengikat; untuk mengencangkan; untuk menahan, mempertahankan; untuk melestarikan; untuk menyimpan, untuk mentransfer (panggilan telepon); untuk menempatkan seseorang melalui, untuk melakukan lindung nilai; untuk membeli atau menjual ke depan ; rangkaian; luas, ekspansif ; laberang"
"常に";"tsuneni";"selalu"
"つばさ";"tsubasa";"sayap, Rasi bintang "Sayap" Cina (salah satu dari 28 rumah mewah), penghitung untuk burung atau sayap burung ; Shinkansen jalur Tōhoku berkecepatan ekstra tinggi"
"つまり";"tsumari";"artinya; dengan kata lain; Maksud saya; itu (ini, itu) artinya, singkatnya; secara singkat; Untuk menyimpulkan; akhirnya; pada akhirnya; dalam jangka panjang; ketika semuanya sudah dikatakan dan selesai; apa tujuan semua ini; ketika Anda langsung melakukannya; pada dasarnya, menyumbat; halangan; isian; (derajat) penyumbatan, penyusutan, akhir; kesimpulan, jalan buntu; sudut, kesusahan; berada di ujung tali seseorang"
"罪";"tsumi ; zai";"kejahatan; dosa; pelanggaran; kecerobohan, penalti; kalimat; hukuman, kesalahan; tanggung jawab, kesembronoan; kurangnya pertimbangan"
"つめる";"tsumeru";"untuk memasukkan; kemacetan; untuk menjejalkan; untuk berkemas; untuk mengisi; untuk menyambungkan; untuk berhenti, untuk mempersingkat; untuk mendekatkan diri, untuk mengurangi (pengeluaran); untuk melestarikan, untuk fokus pada; memaksakan diri untuk melakukan, untuk menjalaninya secara menyeluruh; untuk berolahraga (detail); untuk menyimpulkan; untuk berakhir, untuk bertugas; untuk ditempatkan, ke sudut (khususnya raja lawan di shogi); untuk menjebak; untuk sekakmat, memotong (jari seseorang sebagai tindakan permintaan maaf); untuk menangkap (jari seseorang di pintu, dll.), melakukan tanpa henti; untuk melakukan terus menerus; untuk terus melakukan (tanpa istirahat), melakukan sepenuhnya; untuk melakukan secara menyeluruh, memaksa seseorang ke dalam situasi sulit dengan... ; mencubit; untuk menggigit"
"積もる";"tsumoru";"untuk menumpuk; untuk mengakumulasi, untuk memperkirakan"
"つゆ";"tsuyu";"embun, air mata, (tidak) sedikit; (sama sekali tidak ; musim hujan (di Jepang biasanya dari awal Juni hingga pertengahan Juli), hujan selama musim hujan ; jus; getah, sup; kaldu, (mencelupkan) saus"
"つらい";"tsurai";"menyakitkan; pahit; menyayat hati; sulit (secara emosional), tangguh; sulit; sulit (situasi biasa), kejam; kasar; dingin"
"つり";"tsuri";"penangkapan ikan; memancing, mengubah (untuk pembelian), clickbaiting, trolling; sengaja menulis postingan yang menghasut secara online ; gantung; menangguhkan, selempang"
"連れ";"dure ; tsure";"di perusahaan; disertai dengan...; sebagai grup yang terdiri dari..., seperti... ; pendamping; perusahaan, tritagonis"
"ていあん";"teian";"usul; dalil; saran"
"定期";"teiki";"periode tetap; jangka waktu tetap, reguler; berkala, tiket komuter jangka tetap, deposito berjangka tetap, kontrak berjangka"
"ていこう";"teikou";"perlawanan; berlawanan; berdiri untuk, keengganan; tolakan; rasa jijik, perlawanan; menyeret; gesekan, hambatan listrik, resistor ; konstan (khususnya dalam logika)"
"ていしゅつ";"teishutsu";"presentasi (dokumen); penyerahan (permohonan, laporan, dll.); produksi (misalnya bukti); pendahuluan (misalnya tagihan); pengarsipan; berbalik ; hadiah; memperkenalkan"
"程度";"teido";"derajat; jumlah; nilai; standar; dari urutan (mengikuti nomor); tentang; sekitar"
"ていりゅうじょ";"teiryuujo";"halte (bus, trem, dll.); stasiun; tempat pemberhentian"
"てき";"teki";"-ikal; -ive; -Al; -y, -seperti; -ish; -semacam; -jenis, (sesuatu) seperti; sepanjang garis, -bijaksana; dengan kondisi; untuk; dari sudut pandang; dari... sudut pandang; sejauh... yang bersangkutan, Tuan; MS.; Nyonya. ; lawan; saingan; musuh, ancaman; bahaya; musuh ; Orang Di (istilah Dinasti Zhou untuk non-etnis Tionghoa di utara) ; counter untuk tetesan cairan ; prinsip keempat dari Delapan Prinsip Yong; kait di akhir pukulan vertikal atau horizontal ; memetik; Pilih; menentukan ; mencerahkan, memajukan; kemajuan ; lonceng batu ; bertemu, lihat ; jongkok, duduk di tumit, berkeliaran ; pemotongan"
"適する";"tekisuru";"agar sesuai; sesuai"
"適切";"tekisetsu";"sesuai; tepat; Kanan; bersangkutan; relevan"
"適度";"tekido";"sedang (derajat); tepat (jumlah); sedang; sesuai"
"適用";"tekiyou";"penerapan (misalnya teknologi); adopsi"
"手品";"tejina";"sihir (ilusi); menyulap; Trik sulap; sulap"
"てってい";"tettei";"ketelitian; kelengkapan; konsistensi, penegakan menyeluruh; memastikan bahwa suatu kebijakan, dll. dilaksanakan tanpa pengecualian"
"てつ";"tetsu";"besi (Fe), kuat dan keras (seperti besi), kereta api, penggemar kereta api ; Sage; orang bijak; filsuf; murid, kebijaksanaan; intelijen ; berulang kali, sering ; menembus, meresapi; tembus ; menghilangkan; menghapus; menarik ; tersandung ; rakus ; kebiasaan; jalur roda; alur"
"てつがく";"tetsugaku";"filsafat"
"手伝い";"tetsudai";"pembantu; asisten, bantuan"
"てつどう";"tetsudou";"jalan kereta api; kereta api; transportasi kereta api"
"てつや";"tetsuya";"begadang sepanjang malam"
"手間";"tema";"waktu; tenaga kerja"
"てんけい";"tenkei";"jenis; pola; model; lambang; contoh; pola dasar; contoh sempurna ; Era Tengyō (938.5.22-947.4.22); zaman Tenkei ; hukuman ilahi ; Wahyu ilahi; ramalan ilahi ; berkah surga; anugerah alam; sumber daya alam ; peringatan yang dikirim dari surga ; orang atau hewan yang ditambahkan ke gambar; detail insidental dari sebuah gambar"
"天候";"tenkou";"cuaca"
"天然";"tennen";"alam; spontanitas, orang bebal alami"
"で";"de";"keluar; arus keluar; penghabisan; terbitnya (Matahari atau Bulan), menghadiri (bekerja); tampil (di atas panggung); giliran seseorang untuk melanjutkan, mulai; awal, asal; latar belakang; orang (atau barang) yang berasal dari...; lulusan...; asli dari...; anggota... (garis keturunan), anggota arsitektur yang menonjol ke luar, titik tertinggi buritan kapal, jumlah (terdiri dari sesuatu); jumlah waktu atau usaha yang diperlukan untuk melakukan sesuatu ; pada; di, di; kapan, oleh; dengan, dan kemudian; jadi, dan; kalau begitu, biarkan aku memberitahumu; tidakkah kamu tahu ; tanpa melakukan..."
"出会い";"deai";"pertemuan, pertemuan"
"出会う";"deau";"bertemu (secara kebetulan); untuk menemukan; untuk berlari menyeberang; untuk menghadapi; terjadi, bertemu (misalnya sungai, jalan raya, dll.), muncul dan menyerang (musuh)"
"出来事";"dekigoto";"kejadian; perselingkuhan; peristiwa"
"できる";"dekiru";"untuk dapat (dalam posisi) melakukan; untuk menyelesaikan tugas, untuk siap; untuk diselesaikan, untuk dibuat; untuk dibangun, untuk menjadi ahli; diizinkan (melakukan), menjadi intim; untuk mengambil (dengan seseorang), untuk tumbuh; untuk dibesarkan, untuk hamil ; untuk keluar dari; untuk tidak punya lagi"
"出来るだけ";"dekirudake";"sebanyak yang bisa; sebanyak mungkin; jika memungkinkan"
"できれば";"dekireba";"jika memungkinkan"
"ですから";"desukara";"Jadi; Karena itu; demikian; akibatnya; atas dasar itu; itulah mengapa; untuk alasan itu"
"では";"deha";"Kemudian; Sehat; Jadi; baiklah, jika tidak...; kecuali..., sampai jumpa ; kesempatan untuk keluar; kesempatan (untuk sukses), musik pengiring bagi seorang aktor yang naik ke panggung"
"でも";"demo";"Tetapi; Namun; meskipun; namun demikian; tetap; belum; walaupun demikian; Juga, bahkan, namun; bagaimanapun caranya; bahkan jika; meskipun, ...atau sesuatu, baik...atau...; baik... maupun..., pseudo-; dukun; hanya dalam nama, karena tidak ada hal lain yang lebih baik untuk dilakukan"
"電子";"denshi";"elektron, elektronik"
"でんとう";"dentou";"tradisi; Konvensi ; lampu listrik"
"問い";"toi";"pertanyaan"
"とう";"tou";"partai (politik), orang yang digemari; penggemar ; pedang (khususnya bermata satu Jepang); katana, pisau bedah, pahat; membakar; uang pengukir, pisau (uang komoditas berbentuk pisau yang digunakan di Tiongkok kuno) ; menara; menara gereja; puncak menara, stupa; klenteng; dagoba ; gula ; counter untuk hewan besar (misalnya kepala sapi); penghitung serangga dalam koleksi; counter untuk helm, masker, dll. ; untuk bertanya; untuk menanyakan, menyalahkan (seseorang) untuk; untuk menuduh; untuk mengejar (pertanyaan tentang tanggung jawab); untuk mengisi daya dengan, untuk peduli; untuk dianggap penting, menimbulkan pertanyaan; meragukan ; kemampuan melempar, penghitung lemparan ; rotan; (rotan) tebu (misalnya digunakan pada furnitur anyaman) ; ini; kita; itu... yang dimaksud; yang berkata..., benar; keadilan ; Pulau, insula; pulau; pulau kecil ; rumbai tiang bendera hitam dekoratif yang terbuat dari bulu ekor (dari yak, kuda, lembu, dll.) atau rami yang diwarnai ; dengan cepat, sudah lama sekali ; lampu; lamp, counter untuk lampu listrik ; memerintah, mengendalikan; bersatu ; mendiskusikan; minta, mohon; tuntutan; tidak; nikah ; pergi ke, tiba, berkunjung ; melarikan diri; menghindar ; membekukan; dingin, membeku; jeli ; menembus, melewati ; berduka, meratap ; merampok, mencuri; pencuri, bandit ; bergabung bersama, melekat pada; Tambahkan ; injak, berjalan ; menyalin ; berjuang, bertarung, bersaing ; terbang; mencongklang; berlari; berjingkrak; bangkit ; kotak, sampul, pembungkus, amplop ; tambang batu; tempat tinggal gua ; berdoa; memohon; doa ; mengarahkan, mengawasi; nama belakang ; tutup ketel radikal (no. 8) ; unggul, melampaui, jika, mungkin ; pisau, pedang berdiri radikal (no. 18) ; untuk meludahkan ; jatuh dalam reruntuhan, runtuh ; tanggul ; sedih, tertekan dalam pikiran ; pencopet ; pon, sekam ; menelusuri, menggosok salinan prasasti batu ; pohon pir liar, pohon crabapple ; kursi ; tunggul, bodoh ; ombak ; Pilih ; meluap ; air yang naik ; menanggung, menerima, melakukan, adil ; pegal, nyeri, kesemutan, bernanah ; meleleh, terpesona, terpikat ; memutar, membuat tali ; keranjang ikan disimpan di dalam air ; kacang adzuki, kental ; tangkai bunga, pertumbuhan kuat ; polong biji ; belalang sembah ; menginjak, menginjak-injak, melaksanakan, menilai, menghindari pembayaran ; menginjak, tersandung, terpeleset ; tas, pembungkus ; menjadi serakah, menjadi rakus ; dadu, tulang ; untuk bertarung ; pemukulan drum ; kukuk kecil (Cuculus poliocephalus) ; Dinasti Tang (Tiongkok; 618-907); Dinasti T'ang, Tiongkok; negara asing ; bangunan besar; bangunan dengan atap panjang, counter untuk gedung, apartemen, dll. ; kelas; memesan; pangkat, dan lain-lain; dll.; dan sejenisnya, sama; iso-"
"とうあん";"touan";"kertas ujian; naskah ujian; lembar jawaban, jawaban (untuk soal ujian) ; mengambil waktu istirahat sejenak; bermain-main dengan waktu"
"当時";"touji";"pada waktu itu; pada hari-hari itu"
"到着";"touchaku";"kedatangan"
"とうひょう";"touhyou";"pemungutan suara; suara; pemilihan; Pilih"
"十";"too ; juu ; shii";"sepuluh; 10, usia sepuluh tahun, buku berisi kumpulan puisi"
"通す";"toosu";"untuk bertahan; untuk memaksa, menyebar ke seluruh; untuk menyebar secara menyeluruh, untuk membuat jalur di antara dua titik, untuk melanjutkan dengan cara yang logis, membiarkannya lewat; untuk mengizinkan lewat, untuk memimpin (seseorang) ke dalam (rumah, ruangan, dll.); untuk masuk, untuk melewati (perantara), untuk (melihat, mendengarkan) melalui (jendela, dinding, dll.), untuk melewati (undang-undang, pemohon, dll.), untuk memaksa menerima; untuk memaksa persetujuan, untuk melanjutkan (dalam suatu negara); untuk bertahan dalam, melakukan keseluruhan; untuk mencakup semua; menjangkau keseluruhan..., melakukan dari awal hingga akhir tanpa jeda, menyampaikan (gagasan seseorang, dsb) kepada pihak lain, melakukan hingga akhir; untuk melaksanakan; untuk menyelesaikan"
"通り";"toori ; doori";"jalan, datang dan pergi; lalu lintas jalan, aliran (air, udara, dll.), transmisi (suara); jangkauan (misalnya suara), ketenaran; reputasi; popularitas, status atau cara yang sama; sebagai (misalnya seperti yang diharapkan, seperti yang saya katakan), pemahaman, penghitung untuk serangkaian hal; counter untuk metode, cara, jenis ; Menurut; berikut, kira-kira; tentang, Jalan"
